country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
France,3.3999999999999995,1.0084033613445378,Inf,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378,1.0084033613445378
